"","mean_f","var_f","diff.range","trend","max.jump","corr.decay","above_mean","duration","label","CallClass"
"242",45732,616914.285714286,2400,-13.41656662665,500,-0.000766560454010207,24,-2.41911890925,"flat harmx","1"
"243",49318.5163685107,101722.93743797,1000,16.9944697928221,500,-0.00157985215687655,11,-3.1349943408875,"flat","1"
"244",54550,2120918.36734694,4900,94.8619447779107,1000,-0.00226156905414564,32,-4.14774533894922,"flat","1"
"245",51311.9999978403,1372097.95306593,3400,78.4441774169841,500,-0.00243056378935011,25,-4.24749574171628,"flat","1"
"246",53859.3713200673,1143333.93755643,3938.93134719103,68.5317967820918,1538.93134719103,-0.00212394269397925,32,-4.35831010805657,"flat","1"
"247",42448.1055788545,7642003.38259587,8800,-171.747301436864,-1900,-0.0021354562681396,18,-2.12193159330079,"flat-z harmx","1"
"248",52836.9950108737,1617160.55118896,4400,83.7502742366735,1000,-0.00235989359389638,27,-4.02295456613543,"flat","1"
"249",53854.9118778947,228787.975167217,2274.03676860512,25.2778374397513,-1591.13741795726,-0.00152006082954638,22,-4.58536755869191,"short","2"
"250",46654.409348631,126008.640168783,1092.53400986714,-6.24217097978282,-629.5478701908,-0.000617831861875181,28,-3.43578882643177,"flat","1"
"251",44474.4825584173,3768686.55923931,8800,-110.57267092817,-1900,-0.00174586866748887,16,-2.10537492370634,"flat harmx","1"
"252",44678,3539302.04081633,5800,-95.3613445378151,-3400,-0.00162590258059122,34,-2.49012021684089,"flat-mz harmx","1"
"253",47611.0659017435,896961.694137121,3610.10506594212,52.5678618743842,-753.105929537742,-0.00170533128116204,16,-2.95267278409354,"flat","1"
"254",47808.3278125569,137056.109148715,1500,-5.79946905294496,-1296.55129381703,-0.000465596390427273,20,-3.25969781938846,"flat","1"
"255",51175.322531473,6527.57983017109,442.286340599479,2.65375182810492,360.553207768236,-0.000712028197946454,43,-3.43578882643177,"flat","1"
"256",47910,298877.551020408,1500,-8.47539015606245,500,-0.00072149374553274,20,-2.93369688263454,"flat","1"
"257",42662.443673392,5938994.85286413,7300,-156.775697373004,-2000,-0.00225408713274921,18,-2.31465767422831,"flat-z harmx","1"
"258",46472,868995.918367347,3400,36.6482593037214,500,-0.00114285000799048,17,-2.89679232569909,"flat","1"
"259",39778.2098424127,852047.42646316,5736.61225978519,-50.6597489361958,1949.30614296872,-0.00159037099996221,16,-1.79999327415516,"flat","1"
"260",38233.3763551579,72856.801513756,844.493319134825,-0.820803096260428,-510.211081907575,-0.000359072093151355,23,-2.23492644452023,"flat harmx","1"
"261",38960,284081.632653061,2000,-29.2917166866754,500,-0.00159184754128133,34,-1.97905336764857,"flat harmx","1"
"262",39890,339693.87755102,2500,3.8655462184873,500,-0.000374372511308184,30,-2.10948846303213,"flat harmx","1"
"263",39070,357244.897959184,2000,-37.575030012005,500,-0.00218805917841005,16,-2.23492644452023,"flat harmx","1"
"264",40010,372346.93877551,2000,7.85114045618312,-500,-0.000688316340531454,21,-2.3570412787901,"flat harmx","1"
"265",39750,686224.489795918,2500,-37.046818727491,-500,-0.00134397702214562,13,-2.30960970793101,"flat harmx","1"
"266",40130.060720454,993889.315100902,2900,-37.6063017953297,-1596.96397730073,-0.00121586547477203,22,-2.54720767598538,"flat harmx","1"
"267",40550,406632.653061224,1900,15.5822328931577,-500,-0.000846248672933624,17,-2.6794627442503,"flat","1"
"268",42168.0000192753,92832.6621875067,900.00019275333,17.9015626142603,500,-0.00195293677482592,30,-3.57198570264244,"flat","1"
"269",49312,259853.06122449,1900,15.3373349339736,1000,-0.000640879685614358,17,-2.89679232569909,"flat","1"
"270",49174.1710377641,55004.2842410138,1231.99895800671,6.6649106689906,-538.161907495341,-0.000565968457309677,30,-3.05548227795977,"flat","1"
"271",49451.999979986,226220.393949277,1400,-6.16566395997556,-500,-0.000649614789658705,26,-2.81507877386073,"flat","1"
"272",51382,419465.306122449,2400,34.3577430972393,500,-0.00171076386787783,32,-3.58993950625903,"flat","1"
"273",50263.7410332388,12357.771293317,380.617953855734,5.91884151293349,39.4919548873222,-0.00163465185557722,13,-4.17990245058375,"flat","1"
"274",50600.2629045963,386012.404004086,1770.09915491761,36.1767247513709,500,-0.00199664550531885,27,-3.94248221291285,"flat","1"
"275",51187.3851265114,47385.6713778985,1077.05838345958,6.82340425877867,695.43602295922,-0.000676948508482294,34,-4.6356293934728,"short","2"
"276",53510.9077635661,5419005.65318935,14176.1073280088,18.0542813241334,-4193.17352228863,-0.000315729267189362,21,-3.23398946267825,"upward ramp","3"
"277",53297.5712148357,930452.188725252,2900,59.9794460960147,510.123484482894,-0.00214761473997137,30,-4.11659017116942,"flat","1"
"278",52005.0548785868,111953.259801797,1500,6.75305076376887,-500,-0.000688138220280037,29,-4.53751153751428,"short","2"
"279",52847.2524239909,254274.830962433,1637.37880045288,22.3880701667318,500,-0.00134593395031971,29,-3.34387231504289,"flat","1"
"280",46514,3325310.20408163,8300,-110.064825930372,-3000,-0.00197191901894356,16,-2.46628118566484,"flat harmx","1"
"281",50666.9090909091,323070.347257359,2312.1212121212,5.3042307832226,500,-0.00043132825011617,27,-2.97201574693668,"flat harmx","1"
"282",45214.6623593948,2443710.1903991,4900,-87.7739499774033,571.927403236601,-0.0018484532222991,17,-2.34653698052323,"flat","1"
"283",44121.4559607047,7673473.64723663,9300,-115.055601261628,-3400,-0.00130701472840139,26,-2.17507177269509,"flat-mz","1"
"284",48968,1729567.34693878,3900,-72.9699879951985,500,-0.00193872463503885,21,-2.63666020501554,"flat","1"
"285",48730,924591.836734694,2900,-6.65066026410552,-500,-0.000676004204107159,27,-2.85945465526144,"flat harmx","1"
"286",50582.3074046584,136844.204626506,1000.00616391384,-14.821345600467,500,-0.00124570689195631,29,-3.39025744162382,"flat","1"
